index,title,organ,organismId,sex,lifestage
KE 142,"Hyperplasia, Hyperplasia",liver,Not specified,['Not specified'],['Not specified']
KE 334,"Promotion, Hepatocelluar carcinoma",liver,Not specified,['Not specified'],['Not specified']
KE 57,"Proliferation, Cell proliferation in the absence of cytotoxicity",,Not specified,['Not specified'],['Not specified']
KE 294,"N/A, Unknown",,Not specified,['Not specified'],['Not specified']
KE 887,"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)",,9606,['Not specified'],['Not specified']
KE 887,"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)",,10118,['Not specified'],['Not specified']
KE 887,"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)",,10090,['Not specified'],['Not specified']
KE 888,"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)",,9606,['Not specified'],['Not specified']
KE 888,"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)",,10116,['Not specified'],['Not specified']
KE 888,"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)",,10090,['Not specified'],['Not specified']
KE 177,Mitochondrial dysfunction,,9606,['Unspecific'],['All life stages']
KE 177,Mitochondrial dysfunction,,10090,['Unspecific'],['All life stages']
KE 177,Mitochondrial dysfunction,,10116,['Unspecific'],['All life stages']
KE 889,"Impaired, Proteostasis",,9606,['Not specified'],['Not specified']
KE 889,"Impaired, Proteostasis",,10116,['Not specified'],['Not specified']
KE 889,"Impaired, Proteostasis",,10090,['Not specified'],['Not specified']
KE 188,Neuroinflammation,brain,10116,['Mixed'],"['During brain development, adulthood and aging']"
KE 188,Neuroinflammation,brain,10090,['Mixed'],"['During brain development, adulthood and aging']"
KE 188,Neuroinflammation,brain,9606,['Mixed'],"['During brain development, adulthood and aging']"
KE 188,Neuroinflammation,brain,7955,['Mixed'],"['During brain development, adulthood and aging']"
KE 188,Neuroinflammation,brain,9541,['Mixed'],"['During brain development, adulthood and aging']"
KE 890,Degeneration of dopaminergic neurons of the nigrostriatal pathway,,9606,['Not specified'],['Not specified']
KE 890,Degeneration of dopaminergic neurons of the nigrostriatal pathway,,10116,['Not specified'],['Not specified']
KE 890,Degeneration of dopaminergic neurons of the nigrostriatal pathway,,10090,['Not specified'],['Not specified']
KE 896,Parkinsonian motor deficits,,9606,['Not specified'],['Not specified']
KE 896,Parkinsonian motor deficits,,10116,['Not specified'],['Not specified']
KE 896,Parkinsonian motor deficits,,10090,['Not specified'],['Not specified']
KE 103,"Increase, Ecdysone receptor agonism",,Not specified,['Not specified'],['Not specified']
KE 988,"Decrease, Circulating ecdysis triggering hormone",,Not specified,['Not specified'],['Not specified']
KE 990,"Increase, Incomplete ecdysis",,Not specified,['Not specified'],['Not specified']
