organ,organismId,organismName,sex,lifestage,aeid,assayComponentEndpointName,assaySourceLongName,organism,tissue,cellFreeComponentSource,assayFormatType,citations,assayDesignType,assayDesignTypeSub,biologicalProcessTarget,detectionTechnologyType,detectionTechnology,assayName,geneId,geneName,description,geneSymbol,trackStatus,entrezGeneId,officialSymbol,officialFullName,uniprotAccessionNumber
,9606, human,['Not specified'],['Not specified'],2574,ERF_CR_ENZ_hELANE,Eurofins,human,,human neutrophils,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_CR_ENZ_hELANE,111,"elastase, neutrophil expressed",,ELANE,live,1991,ELANE,"elastase, neutrophil expressed",P08246
,9606, human,['Not specified'],['Not specified'],2575,ERF_CR_ENZ_hEPHA1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,HTRF,ERF_CR_ENZ_hEPHA1,113,EPH receptor A1,,EPHA1,live,2041,EPHA1,EPH receptor A1,P21709
,9606, human,['Not specified'],['Not specified'],2576,ERF_CR_ENZ_hEPHA2,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hEPHA2,110,EPH receptor A2,,EPHA2,live,1969,EPHA2,EPH receptor A2,P29317
,9606, human,['Not specified'],['Not specified'],2577,ERF_CR_ENZ_hEPHB2,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hEPHB2,115,EPH receptor B2,,EPHB2,live,2048,EPHB2,EPH receptor B2,P29323
,9606, human,['Not specified'],['Not specified'],2578,ERF_CR_ENZ_hFGFR1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hFGFR1,126,fibroblast growth factor receptor 1,,FGFR1,live,2260,FGFR1,fibroblast growth factor receptor 1,P11362
,9606, human,['Not specified'],['Not specified'],2579,ERF_CR_ENZ_hFGFR3,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hFGFR3,127,fibroblast growth factor receptor 3,,FGFR3,live,2261,FGFR3,fibroblast growth factor receptor 3,P22607
,9606, human,['Not specified'],['Not specified'],2580,ERF_CR_ENZ_hFLT1,Eurofins,human,,human recombinant Sf9 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hFLT1,131,fms-related tyrosine kinase 1,,FLT1,live,2321,FLT1,fms-related tyrosine kinase 1,P17948
,9606, human,['Not specified'],['Not specified'],2581,ERF_CR_ENZ_hFLT4,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hFLT4,132,fms-related tyrosine kinase 4,,FLT4,live,2324,FLT4,fms-related tyrosine kinase 4,P35916
,9606, human,['Not specified'],['Not specified'],2582,ERF_CR_ENZ_hFYN,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,HTRF,ERF_CR_ENZ_hFYN,137,"FYN proto-oncogene, Src family tyrosine kinase",,FYN,live,2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase",P06241
,9606, human,['Not specified'],['Not specified'],2583,ERF_CR_ENZ_hGSK3b,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hGSK3b,146,glycogen synthase kinase 3 beta,,GSK3B,live,2932,GSK3B,glycogen synthase kinase 3 beta,P49841
